"seqnames","start","end","width","strand","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","orientation"
"chr6",31630630,31639531,8902,"+",0.852874938672687,1.76494398563003e-07,"Promoter",6,31633787,31633858,72,1,"102466745","ENST00000616110.1",0,"ENSG00000274494","MIR6832","microRNA 6832","sense"
"chr10",72273936,72275946,2011,"+",0.874009907112062,1.84472301303543e-07,"Promoter",10,72272288,72274897,2610,2,"110806271","ENST00000737912.1",0,"ENSG00000289506","DDIT4-AS1","DDIT4 antisense RNA 1","antisense"
"chr16",668164,676780,8617,"+",1.11162954047772,2.90821187731379e-07,"Promoter",16,668178,672297,4120,1,"89941","ENST00000568950.5",0,"ENSG00000140983","RHOT2","ras homolog family member T2","sense"
"chr8",144309012,144321126,12115,"+",1.04289214268141,2.90821187731379e-07,"Promoter",8,144317246,144317315,70,2,"102465511","ENST00000611213.1",0,"ENSG00000284229","MIR6848","microRNA 6848","antisense"
"chr15",94855620,94856903,1284,"+",1.08465104503197,2.90821187731379e-07,"Promoter",15,94856534,95021128,164595,1,"105370991","ENST00000618377.1",0,NA,"LOC105370991","uncharacterized LOC105370991","sense"
"chr19",54454435,54457183,2749,"+",1.06811109865788,3.75659500242185e-07,"Exon (ENST00000439657.5/114823, exon 6 of 8)",19,54458415,54461712,3298,1,"114823","ENST00000421200.1",-1232,"ENSG00000167615","LENG8","leukocyte receptor cluster member 8","sense"
"chr16",85657269,85657615,347,"+",1.37423321463782,3.7843794721648e-07,"Exon (ENST00000405402.6/23199, exon 7 of 15)",16,85654432,85676204,21773,1,"23199","ENST00000412692.5",2837,"ENSG00000131149","GSE1","Gse1 coiled-coil protein","sense"
"chr6",147204383,147205302,920,"+",1.34507499533199,5.44383669294555e-07,"Promoter",6,147204417,147390473,186057,1,"134957","ENST00000321680.11",0,"ENSG00000164506","STXBP5","syntaxin binding protein 5","sense"
"chr9",135484521,135488239,3719,"+",1.03119557866022,5.44383669294555e-07,"3' UTR",9,135483363,135488893,5531,1,"9858","ENST00000401470.3",1158,"ENSG00000196422","PPP1R26","protein phosphatase 1 regulatory subunit 26","sense"
"chr11",3855276,3856517,1242,"+",1.3543788360509,5.50003332226133e-07,"Promoter",11,3856062,3856141,80,1,"100616453","ENST00000583618.1",0,"ENSG00000284525","MIR4687","microRNA 4687","sense"
"chr9",136838913,136841487,2575,"+",0.952495129232108,5.50003332226133e-07,"3' UTR",9,136842478,136848801,6324,1,"389813","ENST00000436881.3",-991,"ENSG00000232434","AJM1","apical junction component 1 homolog","sense"
"chr16",88804244,88807457,3214,"+",1.08154423226415,5.56348409548379e-07,"Promoter",16,88804611,88806217,1607,1,"81620","ENST00000562747.1",0,"ENSG00000167513","CDT1","chromatin licensing and DNA replication factor 1","sense"
"chr16",85576472,85585698,9227,"+",0.926133265512544,5.56348409548379e-07,"Exon (ENST00000602862.2/ENST00000602862.2, exon 1 of 3)",16,85555967,85654346,98380,1,"23199","ENST00000635906.1",20505,"ENSG00000131149","GSE1","Gse1 coiled-coil protein","sense"
"chr19",54457768,54461989,4222,"+",0.893932857202224,5.56348409548379e-07,"Promoter",19,54458415,54461712,3298,1,"114823","ENST00000421200.1",0,"ENSG00000167615","LENG8","leukocyte receptor cluster member 8","sense"
"chr19",2351117,2354565,3449,"+",1.2449997940116,6.31786422357121e-07,"3' UTR",19,2360238,2426239,66002,1,"360200","ENST00000649857.1",-5673,"ENSG00000178297","TMPRSS9","transmembrane serine protease 9","sense"
"chr8",143269379,143276782,7404,"+",1.08360853569262,6.33575767401315e-07,"Promoter",8,143269466,143276411,6946,1,"2738","ENST00000517530.5",0,"ENSG00000250571","GLI4","GLI family zinc finger 4","sense"
"chr16",788652,798039,9388,"+",1.09193041385113,6.46337022213042e-07,"Promoter",16,789214,791370,2157,1,"63922","ENST00000491530.5",0,"ENSG00000127586","CHTF18","chromosome transmission fidelity factor 18","sense"
"chr7",150329236,150333722,4487,"+",1.02793601915148,7.62853151566961e-07,"Promoter",7,150329871,150331115,1245,1,"113763","ENST00000696247.1",0,NA,"ZBED10P","zinc finger BED-type containing 10, pseudogene","sense"
"chr19",1222970,1228294,5325,"+",1.23401384734973,8.23908756692291e-07,"3' UTR",19,1229108,1239525,10418,1,"118827813","ENST00000816461.1",-814,NA,"CBARP-DT","CBARP divergent transcript","sense"
"chr22",20578641,20589048,10408,"+",0.864417784422073,9.67851826131423e-07,"Promoter",22,20581901,20587632,5732,1,"51586","ENST00000473244.5",0,"ENSG00000099917","MED15","mediator complex subunit 15","sense"
"chr11",394228,397450,3223,"+",1.44891560588002,1.01244628633957e-06,"Promoter",11,394243,396915,2673,1,"11187","ENST00000533069.1",0,"ENSG00000184363","PKP3","plakophilin 3","sense"
"chr7",151064200,151064966,767,"+",0.932878392114146,1.01244628633957e-06,"Exon (ENST00000483786.5/6522, exon 3 of 4)",7,151062634,151076523,13890,1,"6522","ENST00000461735.1",1566,"ENSG00000164889","SLC4A2","solute carrier family 4 member 2","sense"
"chr16",1765759,1770853,5095,"+",1.20977953314558,1.02264667569393e-06,"Promoter",16,1766172,1766971,800,1,"23162","ENST00000567352.1",0,"ENSG00000138834","MAPK8IP3","mitogen-activated protein kinase 8 interacting protein 3","sense"
"chr17",17793192,17799100,5909,"+",1.13798439275302,1.02264667569393e-06,"Promoter",17,17798384,17804114,5731,1,"10743","ENST00000583166.1",0,"ENSG00000108557","RAI1","retinoic acid induced 1","sense"
"chr4",987888,992271,4384,"+",1.33107010050433,1.02264667569393e-06,"Promoter",4,990621,991195,575,2,"10861","ENST00000513138.1",0,"ENSG00000145217","SLC26A1","solute carrier family 26 member 1","antisense"
"chr19",2245231,2250931,5701,"+",0.973474156736577,1.02264667569393e-06,"Promoter",19,2250639,2250718,80,1,"100423031","ENST00000592276.1",0,"ENSG00000284272","MIR4321","microRNA 4321","sense"
"chr1",40373728,40374208,481,"+",1.43887435519123,1.14624821251377e-06,"Promoter",1,40373727,40423322,49596,1,"64744","ENST00000372718.8",1,"ENSG00000084070","SMAP2","small ArfGAP2","sense"
"chr19",55685433,55690601,5169,"+",1.2175344741408,1.29110323975917e-06,"Exon (ENST00000270460.11/29924, exon 3 of 11)",19,55692648,55693387,740,1,"29924","ENST00000586194.1",-2047,"ENSG00000063245","EPN1","epsin 1","sense"
"chr6",27808397,27808689,293,"+",1.22271210721598,1.54572662740674e-06,"Promoter",6,27808173,27808667,495,1,"8329","ENST00000358739.5",224,"ENSG00000196747","H2AC13","H2A clustered histone 13","sense"
"chr11",292570,297894,5325,"+",0.974519133815459,1.58352696262036e-06,"Promoter",11,293679,294732,1054,1,"80162","ENST00000397660.3",0,"ENSG00000142102","PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase","sense"
"chr19",42271123,42276570,5448,"+",1.03923161237589,1.8852312159374e-06,"5' UTR",19,42269252,42295796,26545,1,"23152","ENST00000681038.1",1871,"ENSG00000079432","CIC","capicua transcriptional repressor","sense"
"chr19",17725848,17728164,2317,"+",1.15407571684758,2.19333400872461e-06,"Promoter",19,17727438,17734513,7076,1,"55201","ENST00000597000.1",0,"ENSG00000130479","MAP1S","microtubule associated protein 1S","sense"
"chr1",1045354,1048368,3015,"+",1.22218343976144,2.3289802251802e-06,"Promoter",1,1045399,1046349,951,1,"375790","ENST00000479707.1",0,"ENSG00000188157","AGRN","agrin","sense"
"chr19",49652262,49653716,1455,"+",1.01659973026656,2.5949006848631e-06,"Exon (ENST00000360565.8/58506, exon 7 of 11)",19,49659575,49661003,1429,2,"3661","ENST00000596644.5",7287,"ENSG00000126456","IRF3","interferon regulatory factor 3","antisense"
"chr7",149224178,149225808,1631,"+",1.10344112156061,2.59922771666172e-06,"3' UTR",7,149212308,149224266,11959,1,"8427","ENST00000470381.1",11870,"ENSG00000170265","ZNF282","zinc finger protein 282","sense"
"chr7",102446777,102448214,1438,"+",1.18851969808781,2.89231560375879e-06,"3' UTR",7,102436299,102456825,20527,1,"80228","ENST00000473939.2",10478,"ENSG00000160991","ORAI2","ORAI calcium release-activated calcium modulator 2","sense"
"chr19",42288591,42295010,6420,"+",0.990388915783652,2.89231560375879e-06,"Promoter",19,42293607,42295110,1504,1,"23152","ENST00000573349.5",0,"ENSG00000079432","CIC","capicua transcriptional repressor","sense"
"chr6",26204628,26205001,374,"+",0.967937770611368,2.91104934592958e-06,"Promoter",6,26204610,26205021,412,1,"8367","ENST00000615164.3",18,"ENSG00000276966","H4C5","H4 clustered histone 5","sense"
"chr1",155013344,155018756,5413,"+",1.08060893834849,3.21158951649085e-06,"Promoter",1,155014448,155016981,2534,1,"51043","ENST00000292176.2",0,"ENSG00000160685","ZBTB7B","zinc finger and BTB domain containing 7B","sense"
"chr11",65107573,65113693,6121,"+",1.0767071027214,3.44611396093308e-06,"Promoter",11,65111845,65115514,3670,1,"7108","ENST00000526809.5",0,"ENSG00000149809","TM7SF2","transmembrane 7 superfamily member 2","sense"
"chr21",43809568,43814974,5407,"+",1.01617892125273,3.44611396093308e-06,"Promoter",21,43805758,43810331,4574,2,"284837","ENST00000437258.5",0,"ENSG00000215458","AATBC","apoptosis associated transcript in bladder cancer","antisense"
"chrX",154458500,154470911,12412,"+",1.07016041086476,3.46713906587663e-06,"Promoter",23,154464449,154464980,532,1,"55558","ENST00000482598.1",0,"ENSG00000130827","PLXNA3","plexin A3","sense"
"chr8",141419596,141429463,9868,"+",0.965753080362381,4.22242390656784e-06,"Promoter",8,141422018,141431520,9503,1,"11156","ENST00000524028.1",0,"ENSG00000184489","PTP4A3","protein tyrosine phosphatase 4A3","sense"
"chr19",49650872,49651586,715,"+",1.27849262176975,4.22757615067292e-06,"Exon (ENST00000360565.8/58506, exon 7 of 11)",19,49644923,49646619,1697,1,"58506","ENST00000595242.3",5949,"ENSG00000126461","SCAF1","SR-related CTD associated factor 1","sense"
"chr16",81678269,81678628,360,"+",1.29979230183541,4.32447657713992e-06,"Exon (ENST00000537098.8/80790, exon 10 of 21)",16,81691656,81700579,8924,1,"80790","ENST00000565680.1",-13028,"ENSG00000153815","CMIP","c-Maf inducing protein","sense"
"chr1",15730521,15735556,5036,"+",0.97014018196968,4.32447657713992e-06,"3' UTR",1,15729845,15734115,4271,1,"23207","ENST00000477849.1",676,"ENSG00000116786","PLEKHM2","pleckstrin homology and RUN domain containing M2","sense"
"chr17",81446973,81452110,5138,"+",1.18372584935366,4.43322281935971e-06,"Promoter",17,81451104,81451188,85,2,"100422944","ENST00000577404.1",0,"ENSG00000266189","MIR3186","microRNA 3186","antisense"
"chr9",129867087,129870430,3344,"+",1.06846078833314,4.82230083850498e-06,"Promoter",9,129869605,129869671,67,1,"102466750","ENST00000622178.1",0,"ENSG00000276124","MIR6855","microRNA 6855","sense"
"chr8",144496447,144502028,5582,"+",1.01707204431165,4.92611940358505e-06,"Promoter",8,144495458,144500280,4823,2,"101928953","ENST00000569326.2",0,NA,"LOC101928953","uncharacterized LOC101928953","antisense"
"chr16",89722133,89723690,1558,"+",1.19797131255517,5.33064363101624e-06,"Promoter",16,89722869,89738589,15721,1,"92822","ENST00000561536.5",0,"ENSG00000158805","ZNF276","zinc finger protein 276","sense"
"chr12",131921059,131923055,1997,"+",1.05734485281064,5.47720752442537e-06,"3' UTR",12,131920067,131922281,2215,1,"8408","ENST00000540568.1",992,"ENSG00000177169","ULK1","unc-51 like autophagy activating kinase 1","sense"
"chr11",65615838,65621071,5234,"+",1.02199156598555,5.54139503639488e-06,"Promoter",11,65619858,65622299,2442,1,"399909","ENST00000531045.1",0,"ENSG00000197136","PCNX3","pecanex 3","sense"
"chr1",150549426,150554758,5333,"+",0.900510473031723,6.21266820277168e-06,"Promoter",1,150551929,150552014,86,1,"100422997","ENST00000581735.1",0,"ENSG00000264553","MIR4257","microRNA 4257","sense"
"chr19",48872466,48876543,4078,"+",0.737745624237632,6.31745510799259e-06,"Promoter",19,48873067,48876059,2993,1,"23645","ENST00000704027.1",0,"ENSG00000087074","PPP1R15A","protein phosphatase 1 regulatory subunit 15A","sense"
"chr20",63733226,63739357,6132,"+",1.00648096098087,6.31745510799259e-06,"Promoter",20,63735463,63738441,2979,1,"54923","ENST00000496820.2",0,"ENSG00000203896","LIME1","Lck interacting transmembrane adaptor 1","sense"
"chr20",63520776,63525101,4326,"+",1.0393124962305,6.40187162706651e-06,"Promoter",20,63520777,63521949,1173,1,"79144","ENST00000473620.1",0,"ENSG00000125534","PPDPF","pancreatic progenitor cell differentiation and proliferation factor","sense"
"chr7",151069956,151072106,2151,"+",0.954303138777735,6.44440745032753e-06,"Promoter",7,151070354,151071132,779,1,"6522","ENST00000469355.1",0,"ENSG00000164889","SLC4A2","solute carrier family 4 member 2","sense"
"chr19",55691340,55693048,1709,"+",1.27958298975098,6.44440745032753e-06,"Promoter",19,55692648,55693387,740,1,"29924","ENST00000586194.1",0,"ENSG00000063245","EPN1","epsin 1","sense"
"chr1",36177867,36180183,2317,"+",1.01435896528582,6.5727288964234e-06,"Promoter",1,36178411,36179724,1314,1,"55700","ENST00000532131.1",0,"ENSG00000116871","MAP7D1","MAP7 domain containing 1","sense"
"chr7",6651858,6653451,1594,"+",1.23199643947878,6.6242525682974e-06,"Exon (ENST00000382252.6/100131017, exon 9 of 9)",7,6641885,6644565,2681,1,"100131017","ENST00000427912.2",9973,"ENSG00000205903","ZNF316","zinc finger protein 316","sense"
"chr12",122141726,122143675,1950,"+",1.12815709015793,6.6242525682974e-06,"3' UTR",12,122135628,122140948,5321,1,"22877","ENST00000542417.1",6098,"ENSG00000175727","MLXIP","MLX interacting protein","sense"
"chr17",7841061,7853347,12287,"+",0.951163217625969,6.6242525682974e-06,"Promoter",17,7844207,7844972,766,1,"23135","ENST00000575521.1",0,"ENSG00000132510","KDM6B","lysine demethylase 6B","sense"
"chr1",150555452,150564225,8774,"+",0.855016257768628,7.03445770980302e-06,"Promoter",1,150548562,150557724,9163,2,"100289061","ENST00000442435.3",0,"ENSG00000237781","ADAMTSL4-AS2","ADAMTSL4 antisense RNA 2","antisense"
"chr7",138460273,138460869,597,"+",1.54374477863323,7.57293958146327e-06,"Promoter",7,138460435,138585585,125151,1,"8805","ENST00000415680.6",0,"ENSG00000122779","TRIM24","tripartite motif containing 24","sense"
"chr19",3381811,3382344,534,"+",1.2282433331915,1.04778122036938e-05,"Exon (ENST00000641145.1/4782, exon 2 of 11)",19,3366583,3469217,102635,1,"4782","ENST00000443272.3",15228,"ENSG00000141905","NFIC","nuclear factor I C","sense"
"chr8",144257088,144266263,9176,"+",1.05179684909233,1.09133506745515e-05,"Promoter",8,144262673,144262737,65,2,"102465906","ENST00000616126.1",0,"ENSG00000284054","MIR7112","microRNA 7112","antisense"
"chr22",46675814,46680452,4639,"+",1.07396200555332,1.10086226305986e-05,"3' UTR",22,46674608,46679683,5076,1,"23151","ENST00000408031.1",1206,"ENSG00000075240","GRAMD4","GRAM domain containing 4","sense"
"chr11",836265,839765,3501,"+",1.06449921726435,1.12595564481931e-05,"Promoter",11,836803,838016,1214,1,"977","ENST00000532075.1",0,"ENSG00000177697","CD151","CD151 molecule (Raph blood group)","sense"
"chr11",67276969,67286530,9562,"+",0.971076012790613,1.12595564481931e-05,"Promoter",11,67279474,67286372,6899,1,"156","ENST00000529738.1",0,"ENSG00000173020","GRK2","G protein-coupled receptor kinase 2","sense"
"chr22",20917490,20918134,645,"+",1.19475054897447,1.12595564481931e-05,"Promoter",22,20917434,20953747,36314,1,"1399","ENST00000411769.1",56,"ENSG00000099942","CRKL","CRK like proto-oncogene, adaptor protein","sense"
"chr7",4762184,4768980,6797,"+",0.769808474119716,1.25859039735102e-05,"3' UTR",7,4758009,4760029,2021,1,"221937","ENST00000496023.1",4175,"ENSG00000164916","FOXK1","forkhead box K1","sense"
"chr17",81696277,81696934,658,"+",1.37481014035087,1.26702271402739e-05,"Promoter",17,81696357,81696747,391,1,"9146","ENST00000678055.1",0,"ENSG00000185359","HGS","hepatocyte growth factor-regulated tyrosine kinase substrate","sense"
"chr11",61865421,61866966,1546,"+",1.2351173602172,1.2922546297916e-05,"3' UTR",11,61861973,61865319,3347,1,"9415","ENST00000522359.2",3448,"ENSG00000134824","FADS2","fatty acid desaturase 2","sense"
"chr20",3865918,3866852,935,"+",1.10139708086752,1.2922546297916e-05,"3' UTR",20,3846834,3876118,29285,1,"57506","ENST00000428216.4",19084,"ENSG00000088888","MAVS","mitochondrial antiviral signaling protein","sense"
"chr12",122975571,122983103,7533,"+",0.780125577224315,1.30059432181003e-05,"Promoter",12,122929000,122981649,52650,2,"23457","ENST00000542678.5",0,"ENSG00000150967","ABCB9","ATP binding cassette subfamily B member 9","antisense"
"chr11",827436,831934,4499,"+",1.13027859640579,1.30059432181003e-05,"Promoter",11,827578,831986,4409,1,"283229","ENST00000528542.6",0,"ENSG00000177685","CRACR2B","calcium release activated channel regulator 2B","sense"
"chr19",40799685,40809732,10048,"+",0.857702111333796,1.30059432181003e-05,"Promoter",19,40799707,40800835,1129,1,"112398","ENST00000594380.1",0,"ENSG00000269858","EGLN2","egl-9 family hypoxia inducible factor 2","sense"
"chr12",752606,754268,1663,"+",1.12396778234648,1.30059432181003e-05,"Promoter",12,752923,911451,158529,1,"65125","ENST00000530271.6",0,"ENSG00000060237","WNK1","WNK lysine deficient protein kinase 1","sense"
"chr9",136835241,136838003,2763,"+",1.04078702499685,1.36840456976413e-05,"Promoter",9,136835171,136840185,5015,1,"55684","ENST00000435930.1",70,"ENSG00000196642","RABL6","RAB, member RAS oncogene family like 6","sense"
"chr16",30664230,30670708,6479,"+",0.958944754360015,1.36840456976413e-05,"Promoter",16,30664457,30670810,6354,1,"64319","ENST00000287468.5",0,"ENSG00000156860","FBRS","fibrosin","sense"
"chr19",1046229,1047703,1475,"+",1.40919844933727,1.4264517361463e-05,"Exon (ENST00000433129.6/10347, exon 12 of 44)",19,1045532,1047554,2023,1,"10347","ENST00000533574.1",697,"ENSG00000064687","ABCA7","ATP binding cassette subfamily A member 7","sense"
"chr3",46988752,47010341,21590,"+",0.785924914832034,1.44218940736553e-05,"Promoter",3,47009752,47013468,3717,1,"100129354","ENST00000724193.1",0,NA,"NRADDP","neurotrophin receptor associated death domain, pseudogene","sense"
"chr22",50438210,50442445,4236,"+",1.00972638979375,1.50724429241971e-05,"Promoter",22,50439753,50441074,1322,1,"9701","ENST00000473283.1",0,"ENSG00000100239","PPP6R2","protein phosphatase 6 regulatory subunit 2","sense"
"chr16",85605508,85612073,6566,"+",0.997924149122921,1.57786142049142e-05,"Promoter",16,85611409,85673354,61946,1,"23199","ENST00000405402.6",0,"ENSG00000131149","GSE1","Gse1 coiled-coil protein","sense"
"chr19",13150609,13155141,4533,"+",0.952456131316614,1.61945573580614e-05,"Promoter",19,13150415,13155013,4599,1,"9592","ENST00000587885.2",194,"ENSG00000160888","IER2","immediate early response 2","sense"
"chr9",129879482,129882021,2540,"+",0.87988622538183,1.62213206476409e-05,"Promoter",9,129879373,129881828,2456,1,"10868","ENST00000472108.1",109,"ENSG00000136878","USP20","ubiquitin specific peptidase 20","sense"
"chr20",63282967,63290569,7603,"+",0.783133118812209,1.75646499819327e-05,"Promoter",20,63286808,63286866,59,1,"100422945","ENST00000582203.1",0,"ENSG00000266104","MIR4326","microRNA 4326","sense"
"chr11",68041217,68046446,5230,"+",0.965827243009679,1.80055268153873e-05,"Promoter",11,68044794,68044957,164,1,"102465451","ENST00000617169.1",0,"ENSG00000275022","MIR6753","microRNA 6753","sense"
"chr22",19961855,19974624,12770,"+",0.742223300244933,1.81168102500824e-05,"Promoter",22,19963753,19963834,82,1,"100616414","ENST00000585066.1",0,"ENSG00000284031","MIR4761","microRNA 4761","sense"
"chr11",489197,491354,2158,"+",1.06368398854441,1.81168102500824e-05,"Promoter",11,489350,490546,1197,1,"81490","ENST00000531411.1",0,"ENSG00000174915","PTDSS2","phosphatidylserine synthase 2","sense"
"chr19",13135212,13136339,1128,"+",1.20116839069598,1.81564140359388e-05,"Exon (ENST00000586171.3/112939, exon 3 of 7)",19,13144615,13145414,800,2,"8677","ENST00000591415.1",9075,"ENSG00000104915","STX10","syntaxin 10","antisense"
"chr12",121817026,121817911,886,"+",1.17659038828836,1.86449457489492e-05,"Exon (ENST00000604567.6/23067, exon 8 of 17)",12,121804738,121830239,25502,1,"23067","ENST00000619791.1",12288,"ENSG00000139718","SETD1B","SET domain containing 1B, histone lysine methyltransferase","sense"
"chr19",14450314,14451095,782,"+",1.33683204268775,1.87951082346985e-05,"Promoter",19,14450806,14458079,7274,1,"5585","ENST00000588200.1",0,"ENSG00000123143","PKN1","protein kinase N1","sense"
"chr19",2337033,2339979,2947,"+",1.08594699764692,1.90438065388002e-05,"Promoter",19,2337111,2339877,2767,1,"56928","ENST00000593243.5",0,"ENSG00000005206","SPPL2B","signal peptide peptidase like 2B","sense"
"chr21",8988408,8988758,351,"+",1.44080090682586,1.97280081560002e-05,"Distal Intergenic",21,8986999,8987178,180,1,"103504731","ENST00000581792.1",1409,"ENSG00000264462","MIR3648-2","microRNA 3648-2","sense"
"chr19",2228039,2232215,4177,"+",0.964679779569321,2.09476260060795e-05,"3' UTR",19,2234062,2234149,88,2,"100302283","ENST00000408484.1",1934,"ENSG00000221411","MIR1227","microRNA 1227","antisense"
"chr21",14055868,14059614,3747,"+",1.27437708384491,2.18946222098586e-05,"Intron (ENST00000428809.6/105377134, intron 1 of 2)",21,14027452,14065542,38091,1,"105377134","ENST00000769843.1",28416,"ENSG00000224905","LOC105377134","uncharacterized LOC105377134","sense"
"chr9",137105471,137111818,6348,"+",1.00193995244726,2.28076904566357e-05,"Promoter",9,137107133,137108970,1838,1,"11253","ENST00000550113.2",0,"ENSG00000177239","MAN1B1","mannosidase alpha class 1B member 1","sense"
"chr19",1431979,1436376,4398,"+",1.08165819049087,2.29726051170419e-05,"3' UTR",19,1438358,1440494,2137,1,"6209","ENST00000233609.8",-1982,"ENSG00000115268","RPS15","ribosomal protein S15","sense"
"chr16",14918527,14918813,287,"+",1.4917920934047,2.4014608812978e-05,"Promoter",16,14918140,14922087,3948,1,"109951030","ENST00000537889.2",387,NA,"PKD1P3-NPIPA1","PKD1P3-NPIPA1 readthrough","sense"
"chr21",43981367,43986168,4802,"+",0.96036715551362,2.488470060595e-05,"3' UTR",21,43971403,43981412,10010,1,"56894","ENST00000484865.1",9964,"ENSG00000160216","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3","sense"
"chr11",66275515,66277822,2308,"+",0.970459516511098,2.65494191057394e-05,"Promoter",11,66278175,66284206,6032,1,"254263","ENST00000311445.7",-353,"ENSG00000174871","CNIH2","cornichon family AMPA receptor auxiliary protein 2","sense"
"chr8",123182718,123183325,608,"+",0.898109209237192,2.68626250456974e-05,"Promoter",8,123181638,123182788,1151,2,"125177378","ENST00000522383.1",0,NA,"SACK1A-AS2","SACK1A antisense RNA 2","antisense"
"chr17",81996442,81996869,428,"+",1.32728400502632,2.69700185087037e-05,"3' UTR",17,81995443,82017037,21595,1,"79058","ENST00000582355.6",999,"ENSG00000169696","ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing","sense"
"chr7",128830393,128834155,3763,"+",1.08427571709521,2.7652426468054e-05,"Promoter",7,128830406,128859272,28867,1,"2318","ENST00000325888.13",0,"ENSG00000128591","FLNC","filamin C","sense"
"chr19",49106819,49109267,2449,"+",1.03936390704344,3.22597084563196e-05,"3' UTR",19,49102411,49108602,6192,1,"6625","ENST00000544278.2",4408,"ENSG00000104852","SNRNP70","small nuclear ribonucleoprotein U1 subunit 70","sense"
"chr19",540901,542443,1543,"+",1.13491028478349,3.30157844781085e-05,"Promoter",19,541217,541661,445,1,"997","ENST00000593036.4",0,"ENSG00000099804","CDC34","cell division cycle 34, ubiquitin conjugating enzyme","sense"
"chr14",24430347,24432646,2300,"+",1.01229188533167,3.30157844781085e-05,"Promoter",14,24427605,24430954,3350,2,"643866","ENST00000555436.1",0,"ENSG00000139899","CBLN3","cerebellin 3 precursor","antisense"
"chr16",1973622,1981848,8227,"+",1.0438350196334,3.37256104033608e-05,"Promoter",16,1974579,1978684,4106,1,"10607","ENST00000332704.5",0,"ENSG00000183751","TBL3","transducin beta like 3","sense"
