"seqnames","start","end","width","strand","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","orientation"
"chr11",134245508,134247641,2134,"+",-1.36857065603582,0.00463251523815519,"3' UTR",11,134243852,134246287,2436,1,"112936","ENST00000531741.1",1656,"ENSG00000151502","VPS26B","VPS26 retromer complex component B","sense"
"chr19",7470892,7472255,1364,"+",-1.49611821165153,0.00508041311679297,"3' UTR",19,7476894,7483312,6419,2,"92960","ENST00000599519.1",11057,"ENSG00000104883","PEX11G","peroxisomal biogenesis factor 11 gamma","antisense"
"chr1",202177582,202179193,1612,"+",-1.32795067461472,0.00508041311679297,"Exon (ENST00000641549.1/148713, exon 10 of 29)",1,202183598,202189449,5852,1,"148713","ENST00000638692.1",-4405,"ENSG00000293457","PTPRVP","protein tyrosine phosphatase receptor type V, pseudogene","sense"
"chr16",67876995,67884829,7835,"+",-1.21245800920861,0.00508041311679297,"Promoter",16,67877489,67884497,7009,1,"23644","ENST00000573992.5",0,"ENSG00000038358","EDC4","enhancer of mRNA decapping 4","sense"
"chr8",144105198,144107549,2352,"+",-1.26412279571339,0.00544522563938345,"Promoter",8,144106601,144107392,792,1,"84232","ENST00000534811.1",0,"ENSG00000179632","MAF1","MAF1 negative regulator of RNA polymerase III","sense"
"chrX",71100766,71101537,772,"+",-1.49362157759572,0.00626190747172106,"Exon (ENST00000374259.8/4303, exon 2 of 3)",23,71099308,71100843,1536,1,"4303","ENST00000464598.1",1458,"ENSG00000184481","FOXO4","forkhead box O4","sense"
"chr7",11059507,11059957,451,"+",-1.33162153387067,0.00626190747172106,"Intron (ENST00000642461.1/9678, intron 13 of 15)",7,11061285,11169623,108339,1,"9678","ENST00000470665.5",-1328,"ENSG00000106443","PHF14","PHD finger protein 14","sense"
"chr16",89738145,89739551,1407,"+",-1.38587765420208,0.00626190747172106,"Promoter",16,89738495,89739758,1264,2,"2175","ENST00000562424.1",207,"ENSG00000187741","FANCA","FA complementation group A","antisense"
"chr14",102011870,102012439,570,"+",-1.22285283083321,0.00626190747172106,"Promoter",14,102011979,102050154,38176,1,"1778","ENST00000647366.1",0,"ENSG00000197102","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","sense"
"chr1",28887224,28887397,174,"+",-1.45623755964851,0.00626190747172106,"Promoter",1,28887172,29117114,229943,1,"2035","ENST00000347529.7",52,"ENSG00000159023","EPB41","erythrocyte membrane protein band 4.1","sense"
"chr14",102033299,102033478,180,"+",-1.48000584244537,0.00629294081492267,"Promoter",14,102033157,102050716,17560,1,"1778","ENST00000643829.1",142,"ENSG00000197102","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","sense"
"chr1",230278810,230281916,3107,"+",-1.19941598389538,0.00640631339910277,"3' UTR",1,230258694,230272110,13417,2,"124904542","ENST00000440729.3",-6700,"ENSG00000227006","LOC124904542","uncharacterized LOC124904542","antisense"
"chr8",75376752,75377011,260,"+",-1.45982699385885,0.00663829309810003,"Exon (ENST00000523134.1/ENST00000523134.1, exon 1 of 1)",8,75223672,75352327,128656,2,"101805492","ENST00000675549.1",-24425,"ENSG00000249395","CASC9","cancer susceptibility 9","antisense"
"chr19",1924203,1924965,763,"+",-1.39328077078173,0.00686376038994058,"3' UTR",19,1922113,1926005,3893,1,"113178","ENST00000472442.2",2090,"ENSG00000227500","SCAMP4","secretory carrier membrane protein 4","sense"
"chr16",30768185,30769558,1374,"+",-1.29787230439831,0.00706373929418035,"Promoter",16,30769339,30773982,4644,1,"9810","ENST00000567365.2",0,"ENSG00000103549","RNF40","ring finger protein 40","sense"
"chr14",101985712,101986715,1004,"+",-1.24287745624168,0.00706414613046148,"Promoter",14,101986414,101989605,3192,1,"1778","ENST00000681321.1",0,"ENSG00000197102","DYNC1H1","dynein cytoplasmic 1 heavy chain 1","sense"
"chr9",136615694,136622680,6987,"+",-1.30433906912083,0.00766033076969723,"Promoter",9,136612026,136621183,9158,2,"401561","ENST00000798062.1",0,"ENSG00000279141","LINC01451","long intergenic non-protein coding RNA 1451","antisense"
"chr20",43715962,43716998,1037,"+",-1.28697042997866,0.00778636626512111,"3' UTR",20,43726164,43726697,534,2,"149699","ENST00000373005.2",9699,"ENSG00000124196","GTSF1L","gametocyte specific factor 1 like","antisense"
"chr11",2396638,2398305,1668,"+",-1.18806087076789,0.00785732229111629,"Promoter",11,2396313,2397299,987,1,"975","ENST00000481386.1",325,"ENSG00000110651","CD81","CD81 molecule","sense"
"chr5",150396133,150396843,711,"+",-1.16859464789605,0.00785732229111629,"3' UTR",5,150389947,150392891,2945,1,"6949","ENST00000506630.1",6186,"ENSG00000070814","TCOF1","treacle ribosome biogenesis factor 1","sense"
"chr2",235536682,235537403,722,"+",-1.38344277746721,0.00789048731561592,"Intron (ENST00000304032.13/116987, intron 1 of 17)",2,235524324,235744811,220488,1,"116987","ENST00000402604.6",12358,"ENSG00000157985","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1","sense"
"chr20",396431,397498,1068,"+",-1.18508825299265,0.00819320317576553,"3' UTR",20,407498,417822,10325,1,"10616","ENST00000411647.5",-10000,"ENSG00000125826","RBCK1","RANBP2-type and C3HC4-type zinc finger containing 1","sense"
"chr2",240576523,240578688,2166,"+",-1.25649396458978,0.00820503932303412,"3' UTR",2,240575502,240578724,3223,1,"57140","ENST00000437406.1",1021,"ENSG00000142327","RNPEPL1","arginyl aminopeptidase like 1","sense"
"chr2",74046134,74048775,2642,"+",-1.21329234537316,0.00830393500976965,"Promoter",2,74047160,74073904,26745,1,"200424","ENST00000475405.2",0,"ENSG00000187605","TET3","tet methylcytosine dioxygenase 3","sense"
"chr11",119334579,119337216,2638,"+",-1.23051152872757,0.00891407094442561,"Promoter",11,119334527,119337309,2783,1,"79102","ENST00000311413.5",52,"ENSG00000173456","RNF26","ring finger protein 26","sense"
"chr3",128069466,128072832,3367,"+",-1.1710886908513,0.00909281302132418,"3' UTR",3,128067781,128069751,1971,1,"29927","ENST00000498837.1",1685,"ENSG00000058262","SEC61A1","SEC61 translocon subunit alpha 1","sense"
"chr9",130135105,130139835,4731,"+",-1.16275734704645,0.00909281302132418,"3' UTR",9,130140610,130144219,3610,2,"401554","ENST00000358748.1",4384,"ENSG00000196979","GPRACR","GPR107 adjacent cis regulating lncRNA","antisense"
"chr19",1431979,1433065,1087,"+",-1.28018292181386,0.00929657057961419,"Exon (ENST00000336761.10/26528, exon 11 of 13)",19,1438358,1440494,2137,1,"6209","ENST00000233609.8",-5293,"ENSG00000115268","RPS15","ribosomal protein S15","sense"
"chr17",28860457,28861020,564,"+",-1.27380947186812,0.00971976150898591,"Promoter",17,28861371,28861438,68,1,"100616273","ENST00000636285.1",-351,"ENSG00000283364","MIR451B","microRNA 451b","sense"
"chr11",70435014,70436478,1465,"+",-1.26963983688258,0.00971976150898591,"3' UTR",11,70429122,70435152,6031,1,"2017","ENST00000533931.1",5892,"ENSG00000085733","CTTN","cortactin","sense"
"chr2",218404261,218405914,1654,"+",-1.17546233762458,0.00971976150898591,"3' UTR",2,218402646,218402722,77,1,"407017","ENST00000362251.4",1615,"ENSG00000199121","MIR26B","microRNA 26b","sense"
"chr21",37195213,37195985,773,"+",-1.35652073505195,0.00992972142648031,"3' UTR",21,37194453,37197947,3495,1,"7267","ENST00000488522.1",760,"ENSG00000182670","TTC3","tetratricopeptide repeat domain 3","sense"
"chr10",17233096,17233919,824,"+",-1.19965926146384,0.00992972142648031,"Promoter",10,17233225,17235034,1810,1,"7431","ENST00000495528.1",0,"ENSG00000026025","VIM","vimentin","sense"
"chr14",103135393,103137328,1936,"+",-1.27148995035956,0.00992972142648031,"3' UTR",14,103131096,103133765,2670,1,"7127","ENST00000561156.1",4297,"ENSG00000185215","TNFAIP2","TNF alpha induced protein 2","sense"
"chr5",179833047,179833791,745,"+",-1.19906390351328,0.00992972142648031,"Exon (ENST00000389805.9/8878, exon 6 of 8)",5,179823858,179833386,9529,1,"8878","ENST00000466342.1",9189,"ENSG00000161011","SQSTM1","sequestosome 1","sense"
"chr11",67254973,67257928,2956,"+",-1.31015389604637,0.00992972142648031,"3' UTR",11,67252338,67257670,5333,1,"22992","ENST00000524657.1",2635,"ENSG00000173120","KDM2A","lysine demethylase 2A","sense"
"chr14",24102795,24104414,1620,"+",-1.1889025886041,0.00996568542304515,"Promoter",14,24102675,24103722,1048,1,"5106","ENST00000557969.1",120,"ENSG00000100889","PCK2","phosphoenolpyruvate carboxykinase 2, mitochondrial","sense"
"chrX",49171897,49172098,202,"+",-1.35003791701849,0.00997352048038993,"Promoter",23,49171898,49175235,3338,1,"5355","ENST00000376327.6",0,"ENSG00000102007","PLP2","proteolipid protein 2","sense"
"chr8",144138636,144142390,3755,"+",-1.19521078631083,0.00997352048038993,"Promoter",8,144138683,144139420,738,1,"51236","ENST00000525101.5",0,"ENSG00000235173","HGH1","HGH1 cochaperone","sense"
"chr11",66275519,66277704,2186,"+",-1.11637846593198,0.00997352048038993,"Promoter",11,66278175,66284206,6032,1,"254263","ENST00000311445.7",-471,"ENSG00000174871","CNIH2","cornichon family AMPA receptor auxiliary protein 2","sense"
"chr3",9834756,9836194,1439,"+",-1.12891112459779,0.0101512593576565,"3' UTR",3,9834084,9835208,1125,1,"26140","ENST00000493241.1",672,"ENSG00000214021","TTLL3","tubulin tyrosine ligase like 3","sense"
"chr19",55668707,55669799,1093,"+",-1.1607200537872,0.0101512593576565,"3' UTR",19,55675226,55709533,34308,1,"29924","ENST00000270460.11",-5427,"ENSG00000063245","EPN1","epsin 1","sense"
"chr11",72237129,72239797,2669,"+",-1.20520813388933,0.0101512593576565,"Promoter",11,72237206,72238527,1322,1,"3636","ENST00000541752.1",0,"ENSG00000165458","INPPL1","inositol polyphosphate phosphatase like 1","sense"
"chr16",1992905,1994181,1277,"+",-1.2589853546695,0.0102174920432325,"Promoter",16,1992463,1993298,836,1,"9143","ENST00000564642.1",442,"ENSG00000127561","SYNGR3","synaptogyrin 3","sense"
"chr19",19111054,19112769,1716,"+",-1.21309391219586,0.0102756352941937,"3' UTR",19,19105863,19110646,4784,1,"284439","ENST00000596819.1",5191,"ENSG00000181035","SLC25A42","solute carrier family 25 member 42","sense"
"chr16",85665900,85667146,1247,"+",-1.0774006864918,0.0102756352941937,"Exon (ENST00000405402.6/23199, exon 12 of 15)",16,85665020,85666622,1603,1,"23199","ENST00000562659.1",880,"ENSG00000131149","GSE1","Gse1 coiled-coil protein","sense"
"chr22",41356738,41359903,3166,"+",-1.2073205790518,0.0102756352941937,"3' UTR",22,41367333,41399324,31992,1,"7008","ENST00000406644.7",-7430,"ENSG00000167074","TEF","TEF transcription factor, PAR bZIP family member","sense"
"chr16",85630830,85638129,7300,"+",-1.17967022726092,0.0102756352941937,"Exon (ENST00000637419.1/23199, exon 3 of 3)",16,85654432,85676204,21773,1,"23199","ENST00000412692.5",-16303,"ENSG00000131149","GSE1","Gse1 coiled-coil protein","sense"
"chr5",179825669,179825876,208,"+",-1.37601256023604,0.0107570020187916,"Intron (ENST00000389805.9/8878, intron 5 of 7)",5,179823858,179833386,9529,1,"8878","ENST00000466342.1",1811,"ENSG00000161011","SQSTM1","sequestosome 1","sense"
"chr20",63284009,63284812,804,"+",-1.29602564194058,0.0108388826247772,"Promoter",20,63284115,63289345,5231,1,"55738","ENST00000518794.6",0,"ENSG00000101199","ARFGAP1","ARF GTPase activating protein 1","sense"
"chr11",68612482,68615197,2716,"+",-1.23955967531261,0.0108388826247772,"3' UTR",11,68609951,68613538,3588,1,"55291","ENST00000530734.1",2531,"ENSG00000110075","PPP6R3","protein phosphatase 6 regulatory subunit 3","sense"
"chr1",150549430,150554654,5225,"+",-1.21157526185189,0.0119667267510455,"Promoter",1,150551929,150552014,86,1,"100422997","ENST00000581735.1",0,"ENSG00000264553","MIR4257","microRNA 4257","sense"
"chr19",19355785,19358491,2707,"+",-1.18291922245877,0.0121508745181042,"3' UTR",19,19355143,19356013,871,1,"23383","ENST00000589637.1",642,"ENSG00000129933","MAU2","MAU2 sister chromatid cohesion factor","sense"
"chr9",129005313,129006981,1669,"+",-1.29498506441682,0.0121508745181042,"3' UTR",9,129007792,129012016,4225,2,"56904","ENST00000479237.5",5035,"ENSG00000148341","SH3GLB2","SH3 domain containing GRB2 like, endophilin B2","antisense"
"chr7",128852583,128855321,2739,"+",-1.18716974089806,0.0125956894079371,"3' UTR",7,128850162,128862626,12465,2,"110806300","ENST00000469965.1",7305,"ENSG00000242902","FLNC-AS1","FLNC antisense RNA 1","antisense"
"chr7",128858479,128859440,962,"+",-1.17428780130014,0.0127309085985961,"3' UTR",7,128850162,128862626,12465,2,"110806300","ENST00000469965.1",3186,"ENSG00000242902","FLNC-AS1","FLNC antisense RNA 1","antisense"
"chr11",837966,839172,1207,"+",-1.25015991561928,0.0128420939342956,"3' UTR",11,836803,838016,1214,1,"977","ENST00000532075.1",1163,"ENSG00000177697","CD151","CD151 molecule (Raph blood group)","sense"
"chr19",47275317,47276453,1137,"+",-1.17394677145267,0.0128420939342956,"Promoter",19,47274885,47275723,839,1,"255783","ENST00000552360.4",432,"ENSG00000257704","INAFM1","InaF motif containing 1","sense"
"chr16",3020477,3024361,3885,"+",-1.05899750117042,0.0128420939342956,"Promoter",16,3022625,3023942,1318,2,"54985","ENST00000248089.8",0,"ENSG00000103145","HCFC1R1","host cell factor C1 regulator 1","antisense"
"chr1",171557278,171558060,783,"+",-1.16618871529777,0.0128420939342956,"Promoter",1,171557955,171593258,35304,1,"23215","ENST00000644916.1",0,"ENSG00000117523","PRRC2C","proline rich coiled-coil 2C","sense"
"chr16",263490,266532,3043,"+",-1.15354958611254,0.0128420939342956,"3' UTR",16,262508,265090,2583,1,"83986","ENST00000424016.1",982,"ENSG00000167930","FAM234A","family with sequence similarity 234 member A","sense"
"chr1",11974795,11975428,634,"+",-1.23804552525201,0.0129546258676287,"3' UTR",1,11971543,11975536,3994,1,"5351","ENST00000481933.1",3252,"ENSG00000083444","PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","sense"
"chr11",292950,295669,2720,"+",-1.20496039085582,0.0129546258676287,"Promoter",11,293679,294732,1054,1,"80162","ENST00000397660.3",0,"ENSG00000142102","PGGHG","protein-glucosylgalactosylhydroxylysine glucosidase","sense"
"chr21",43809568,43814820,5253,"+",-1.13012540169722,0.0131055241535228,"Promoter",21,43805758,43810331,4574,2,"284837","ENST00000437258.5",0,"ENSG00000215458","AATBC","apoptosis associated transcript in bladder cancer","antisense"
"chr5",179836431,179838044,1614,"+",-1.10588983632346,0.0134280047807815,"3' UTR",5,179841269,179844220,2952,2,"51149","ENST00000521675.1",6176,"ENSG00000161010","MRNIP","MRN complex interacting protein","antisense"
"chr7",128842218,128847081,4864,"+",-1.11174972099754,0.0137368991015733,"Exon (ENST00000325888.13/2318, exon 14 of 48)",7,128841331,128842858,1528,1,"2318","ENST00000388853.3",887,"ENSG00000128591","FLNC","filamin C","sense"
"chr1",1533955,1534650,696,"+",-1.21955627833467,0.0138791520961639,"3' UTR",1,1539056,1540350,1295,2,"339453","ENST00000624426.1",5700,"ENSG00000205090","TMEM240","transmembrane protein 240","antisense"
"chr12",110340662,110340946,285,"+",-1.13680390912197,0.0138791520961639,"3' UTR",12,110343256,110345247,1992,1,"488","ENST00000547792.1",-2310,"ENSG00000174437","ATP2A2","ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2","sense"
"chr9",133057796,133058415,620,"+",-1.13119627744924,0.0146294047654973,"3' UTR",9,133055859,133058130,2272,1,"9328","ENST00000489842.1",1937,"ENSG00000148308","GTF3C5","general transcription factor IIIC subunit 5","sense"
"chr16",582355,584271,1917,"+",-1.10583658937447,0.0146294047654973,"Promoter",16,582490,582947,458,1,"9091","ENST00000540548.1",0,"ENSG00000007541","PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q","sense"
"chr1",110054966,110062240,7275,"+",-1.05086328680147,0.0146294047654973,"3' UTR",1,110060397,110064924,4528,2,"257","ENST00000649954.1",2684,"ENSG00000156150","ALX3","ALX homeobox 3","antisense"
"chr16",1698843,1699652,810,"+",-1.23627473733761,0.0149489076377356,"3' UTR",16,1706166,1752983,46818,1,"23162","ENST00000685674.1",-6514,"ENSG00000138834","MAPK8IP3","mitogen-activated protein kinase 8 interacting protein 3","sense"
"chr19",55694714,55697234,2521,"+",-1.12877895075744,0.0149489076377356,"3' UTR",19,55692770,55709858,17089,1,"29924","ENST00000589704.1",1944,"ENSG00000063245","EPN1","epsin 1","sense"
"chr21",46431609,46432206,598,"+",-1.14615110514984,0.0149489076377356,"Promoter",21,46431259,46432035,777,1,"5116","ENST00000482575.1",350,"ENSG00000160299","PCNT","pericentrin","sense"
"chr19",3534549,3536006,1458,"+",-1.19262299733205,0.0149489076377356,"Promoter",19,3534285,3535236,952,1,"51343","ENST00000588084.1",264,"ENSG00000105325","FZR1","fizzy and cell division cycle 20 related 1","sense"
"chr3",127031353,127037585,6233,"+",-1.1175577278592,0.0149489076377356,"Promoter",3,127031855,127033986,2132,1,"5361","ENST00000505278.1",0,"ENSG00000114554","PLXNA1","plexin A1","sense"
"chr5",140566337,140568997,2661,"+",-1.19710156947348,0.0149489076377356,"5' UTR",5,140564891,140569100,4210,1,"131768270","ENST00000514199.1",1446,"ENSG00000293600","LOC131768270","SLC35A4 upstream open reading frame protein","sense"
"chr19",49009809,49011253,1445,"+",-1.16499130352219,0.0149489076377356,"Promoter",19,49009906,49009972,67,1,"102466738","ENST00000612887.1",0,"ENSG00000273898","MIR6798","microRNA 6798","sense"
"chr17",80339247,80340258,1012,"+",-1.16833078170893,0.0149489076377356,"Exon (ENST00000582970.6/57674, exon 26 of 68)",17,80337514,80339446,1933,1,"57674","ENST00000571908.1",1733,"ENSG00000173821","RNF213","ring finger protein 213","sense"
"chr11",63907942,63911192,3251,"+",-1.19117193780137,0.0149489076377356,"3' UTR",11,63911955,63912307,353,2,"283248","ENST00000473926.2",1115,"ENSG00000167771","RCOR2","REST corepressor 2","antisense"
"chr17",17793966,17798685,4720,"+",-1.09798084717488,0.0149489076377356,"Promoter",17,17798384,17804114,5731,1,"10743","ENST00000583166.1",0,"ENSG00000108557","RAI1","retinoic acid induced 1","sense"
"chr19",36149886,36150284,399,"+",-1.15153093653701,0.0149543504562134,"3' UTR",19,36150922,36152025,1104,2,"1346","ENST00000437291.6",1741,"ENSG00000161281","COX7A1","cytochrome c oxidase subunit 7A1","antisense"
"chr7",150329236,150332509,3274,"+",-1.06172951397845,0.0150037185971688,"Promoter",7,150329871,150331115,1245,1,"113763","ENST00000696247.1",0,NA,"ZBED10P","zinc finger BED-type containing 10, pseudogene","sense"
"chrX",13339876,13340372,497,"+",-1.16800635030974,0.0152147162267072,"Exon (ENST00000419566.5/100133123, exon 6 of 7)",23,13336430,13397897,61468,1,"100133123","ENST00000656111.2",3446,"ENSG00000226985","LINC01203","long intergenic non-protein coding RNA 1203","sense"
"chr7",128834999,128841550,6552,"+",-1.15031999620867,0.0152147162267072,"Promoter",7,128841331,128842858,1528,1,"2318","ENST00000388853.3",0,"ENSG00000128591","FLNC","filamin C","sense"
"chr20",63685315,63687791,2477,"+",-1.26803743134456,0.015620427529959,"Promoter",20,63686371,63698684,12314,1,"100533107","ENST00000480273.5",0,"ENSG00000026036","RTEL1-TNFRSF6B","RTEL1-TNFRSF6B readthrough (NMD candidate)","sense"
"chr13",43968557,43971238,2682,"+",-1.12660363678881,0.0158384994306968,"Exon (ENST00000378718.2/ENST00000378718.2, exon 1 of 1)",13,43992876,44014908,22033,2,"105370182","ENST00000772397.1",43670,NA,"LOC105370182","uncharacterized LOC105370182","antisense"
"chr1",156138377,156139959,1583,"+",-1.15234187930016,0.0158404245440334,"3' UTR",1,156137701,156139894,2194,1,"4000","ENST00000683773.1",676,"ENSG00000160789","LMNA","lamin A/C","sense"
"chr6",34858794,34859562,769,"+",-1.17791341932961,0.0161447489449312,"Exon (ENST00000192788.6/54887, exon 14 of 21)",6,34877803,34885281,7479,2,"6882","ENST00000691871.1",25719,"ENSG00000064995","TAF11","TATA-box binding protein associated factor 11","antisense"
"chr3",126990487,127005251,14765,"+",-1.09705082747354,0.0161447489449312,"Exon (ENST00000393409.3/5361, exon 3 of 32)",3,126983115,127037389,54275,1,"5361","ENST00000393409.3",7372,"ENSG00000114554","PLXNA1","plexin A1","sense"
"chr2",235628327,235628553,227,"+",-1.27886589775981,0.0161471429177578,"Intron (ENST00000304032.13/116987, intron 1 of 17)",2,235669604,236126554,456951,1,"116987","ENST00000409538.5",-41051,"ENSG00000157985","AGAP1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1","sense"
"chr17",81701722,81702068,347,"+",-1.23859470545929,0.016208766350612,"3' UTR",17,81701215,81701929,715,1,"9146","ENST00000570652.2",507,"ENSG00000185359","HGS","hepatocyte growth factor-regulated tyrosine kinase substrate","sense"
"chr17",80572185,80572628,444,"+",-1.19115102166905,0.0163716435624594,"Intron (ENST00000574767.5/57521, intron 1 of 11)",17,80585896,80586961,1066,2,"105371922","ENST00000846532.1",14333,NA,"LOC105371922","uncharacterized LOC105371922","antisense"
"chr6",167951243,167952200,958,"+",-1.06038785782545,0.0164135566150666,"Promoter",6,167951904,167970025,18122,1,"4301","ENST00000507704.5",0,"ENSG00000130396","AFDN","afadin, adherens junction formation factor","sense"
"chr20",32792532,32793454,923,"+",-1.22680086763917,0.016650016868745,"Promoter",20,32792416,32797221,4806,1,"1789","ENST00000696241.1",116,"ENSG00000088305","DNMT3B","DNA methyltransferase 3 beta","sense"
"chr7",100871541,100871713,173,"+",-1.268891513983,0.016650016868745,"3' UTR",7,100870783,100872833,2051,1,"7205","ENST00000488670.1",758,"ENSG00000087077","TRIP6","thyroid hormone receptor interactor 6","sense"
"chr19",52212681,52213104,424,"+",-1.27870639279453,0.0168384957685663,"Promoter",19,52212830,52219734,6905,1,"5518","ENST00000473820.1",0,"ENSG00000105568","PPP2R1A","protein phosphatase 2 scaffold subunit Aalpha","sense"
"chr11",702799,703832,1034,"+",-1.27541225555826,0.0168543349783256,"Promoter",11,703007,704129,1123,1,"283232","ENST00000528024.1",0,"ENSG00000177042","TMEM80","transmembrane protein 80","sense"
"chr3",14484111,14489097,4987,"+",-1.09654794874851,0.0168707736099292,"3' UTR",3,14472242,14484903,12662,1,"6533","ENST00000452151.1",11869,"ENSG00000131389","SLC6A6","solute carrier family 6 member 6","sense"
"chr8",38819576,38820524,949,"+",-1.22197535453012,0.0173534565204624,"Promoter",8,38819921,38848142,28222,1,"6867","ENST00000521866.5",0,"ENSG00000147526","TACC1","transforming acidic coiled-coil containing protein 1","sense"
"chr7",45075610,45076393,784,"+",-1.14142822980438,0.0176094175200244,"3' UTR",7,45072338,45073562,1225,1,"83605","ENST00000470837.1",3272,"ENSG00000136280","CCM2","CCM2 scaffold protein","sense"
"chr19",39422760,39424573,1814,"+",-1.07225095000075,0.0183126275741405,"Promoter",19,39423428,39425512,2085,1,"64857","ENST00000600210.1",0,"ENSG00000090924","PLEKHG2","pleckstrin homology and RhoGEF domain containing G2","sense"
"chr22",50518147,50519625,1479,"+",-1.2331576366764,0.0183728135471432,"Promoter",22,50519547,50522418,2872,1,"29781","ENST00000520297.5",0,"ENSG00000025770","NCAPH2","non-SMC condensin II complex subunit H2","sense"
"chr1",32194897,32198811,3915,"+",-1.07913522480246,0.0184649448051547,"3' UTR",1,32200595,32205387,4793,1,"79140","ENST00000373602.10",-1784,"ENSG00000160050","CCDC28B","coiled-coil domain containing 28B","sense"
