"seqnames","start","end","width","strand","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","orientation"
"chr7",93815348,93815672,325,"+",1.50689634273728,0.000374703758672521,"Intron (ENST00000455502.5/2792, intron 1 of 3)",7,93886434,93890170,3737,2,"7980","ENST00000451238.1",74498,"ENSG00000105825","TFPI2","tissue factor pathway inhibitor 2","antisense"
"chrX",56636986,56641988,5003,"+",1.56033363644247,0.00044978698000498,"Intron (ENST00000729752.1/ENST00000729752.1, intron 3 of 3)",23,56618357,56624458,6102,1,"124905194","ENST00000446028.2",18629,NA,"LOC124905194","uncharacterized LOC124905194","sense"
"chr7",93744818,93745994,1177,"+",1.45846529148502,0.000525830625906971,"Intron (ENST00000455502.5/2792, intron 1 of 3)",7,93716928,93717005,78,1,"100616206","ENST00000583734.1",27890,"ENSG00000265423","MIR4652","microRNA 4652","sense"
"chr18",41971575,41972346,772,"+",1.48163022742139,0.00054471227800304,"Intron (ENST00000262039.9/5289, intron 4 of 24)",18,41957667,41990602,32936,1,"5289","ENST00000589550.1",13908,"ENSG00000078142","PIK3C3","phosphatidylinositol 3-kinase catalytic subunit type 3","sense"
"chr11",74891600,74893378,1779,"+",1.5653198491364,0.000833779779560478,"Intron (ENST00000533875.1/ENST00000533875.1, intron 2 of 4)",11,74850870,74906352,55483,2,"143570","ENST00000529926.1",12974,"ENSG00000166435","XRRA1","X-ray radiation resistance associated 1","antisense"
"chr2",208801726,208806534,4809,"+",1.43771531412667,0.000906938671902821,"Intron (ENST00000419079.1/101927960, intron 4 of 6)",2,208757163,208757918,756,2,"105373857","ENST00000747280.1",-43808,NA,"LOC105373857","uncharacterized LOC105373857","antisense"
"chr18",41973590,41974409,820,"+",1.45286351701821,0.000906938671902821,"Intron (ENST00000262039.9/5289, intron 4 of 24)",18,41957667,41990602,32936,1,"5289","ENST00000589550.1",15923,"ENSG00000078142","PIK3C3","phosphatidylinositol 3-kinase catalytic subunit type 3","sense"
"chrX",148172204,148173530,1327,"+",1.42213206501828,0.00094227540803845,"Intron (ENST00000821191.1/ENST00000821191.1, intron 1 of 2)",23,148006816,148026665,19850,1,"158521","ENST00000489034.2",165388,"ENSG00000176988","FMR1NB","FMR1 neighbor","sense"
"chr3",34195963,34196469,507,"+",1.4802063181882,0.00094227540803845,"Intron (ENST00000654751.1/101928114, intron 3 of 5)",3,34203244,34268811,65568,1,"101928114","ENST00000455974.1",-6775,"ENSG00000226320","LINC01811","long intergenic non-protein coding RNA 1811","sense"
"chrX",68603549,68608285,4737,"+",1.58583467169805,0.00124983827564207,"Distal Intergenic",23,68647666,68656551,8886,1,"9754","ENST00000488088.1",-39381,"ENSG00000130052","STARD8","StAR related lipid transfer domain containing 8","sense"
"chr3",21280618,21281745,1128,"+",1.58748393048693,0.001423490293649,"Distal Intergenic",3,21211006,21264760,53755,1,"105376988","ENST00000726596.1",69612,NA,"LOC105376988","uncharacterized LOC105376988","sense"
"chrX",56185285,56189830,4546,"+",1.45954325791669,0.00172779166777002,"Intron (ENST00000701557.2/11279, intron 2 of 2)",23,56169348,56205285,35938,1,"124900486","ENST00000799264.1",15937,NA,"LOC124900486","uncharacterized LOC124900486","sense"
"chr10",75576931,75581697,4767,"+",1.52931909384496,0.00177697906395572,"Intron (ENST00000611255.5/83938, intron 2 of 6)",10,75601240,76036136,434897,1,"83938","ENST00000593817.1",-19543,"ENSG00000148655","LRMDA","leucine rich melanocyte differentiation associated","sense"
"chr7",93812325,93812745,421,"+",1.35880091398988,0.00177697906395572,"Intron (ENST00000455502.5/2792, intron 1 of 3)",7,93886434,93890170,3737,2,"7980","ENST00000451238.1",77425,"ENSG00000105825","TFPI2","tissue factor pathway inhibitor 2","antisense"
"chr6",51130392,51135127,4736,"+",1.60626472829705,0.00181810003520856,"Distal Intergenic",6,50821785,50823865,2081,1,"7021","ENST00000489228.1",308607,"ENSG00000008196","TFAP2B","transcription factor AP-2 beta","sense"
"chr18",1805785,1806871,1087,"+",1.29987542612579,0.00201693591151107,"Intron (ENST00000746526.1/ENST00000746526.1, intron 3 of 4)",18,1780479,1831150,50672,1,"105371959","ENST00000746572.1",25306,NA,"LOC105371959","uncharacterized LOC105371959","sense"
"chr20",38508231,38508539,309,"+",1.4360263314388,0.00202157922684898,"Intron (ENST00000397042.7/57148, intron 5 of 29)",20,38509085,38548106,39022,1,"57148","ENST00000461423.1",-546,"ENSG00000170471","RALGAPB","Ral GTPase activating protein non-catalytic subunit beta","sense"
"chrX",21945654,21945878,225,"+",1.37558477927207,0.00211061636279873,"Intron (ENST00000404933.7/6611, intron 1 of 10)",23,21940941,21978111,37171,1,"6611","ENST00000457085.2",4713,"ENSG00000102172","SMS","spermine synthase","sense"
"chr14",27239806,27240927,1122,"+",1.54736376562197,0.00247351138973153,"Intron (ENST00000656336.1/102725045, intron 5 of 5)",14,27529238,27617114,87877,1,"100505967","ENST00000794993.1",-288311,"ENSG00000258548","LINC00645","long intergenic non-protein coding RNA 645","sense"
"chr17",47230704,47230931,228,"+",1.53705102004625,0.00306587877105695,"Distal Intergenic",17,47220030,47223477,3448,1,"4635","ENST00000570671.1",10674,"ENSG00000198336","MYL4","myosin light chain 4","sense"
"chr4",141550507,141553367,2861,"+",1.44489205086867,0.00353123909162389,"Distal Intergenic",4,141569931,141576077,6147,2,"105377456","ENST00000508388.1",22710,"ENSG00000250141","LINC02276","long intergenic non-protein coding RNA 2276","antisense"
"chr11",62946703,62947261,559,"+",1.58070655549138,0.00353123909162389,"Intron (ENST00000782248.1/105369333, intron 4 of 5)",11,62909738,62921807,12070,2,"1128","ENST00000543973.1",-24896,"ENSG00000168539","CHRM1","cholinergic receptor muscarinic 1","antisense"
"chr6",83947935,83948343,409,"+",1.32633128568049,0.00359113153588534,"Intron (ENST00000369681.10/51167, intron 14 of 15)",6,83926269,83955375,29107,1,"123956252","ENST00000479164.1",21666,"ENSG00000065615","RIPPLY2-CYB5R4","RIPPLY2-CYB5R4 readthrough","sense"
"chr17",29569959,29570455,497,"+",1.31775776313935,0.00371724892081682,"Exon (ENST00000579050.1/ENST00000579050.1, exon 1 of 2)",17,29568760,29569392,633,1,"90313","ENST00000580132.1",1199,"ENSG00000167543","TP53I13","tumor protein p53 inducible protein 13","sense"
"chr6",51122852,51126268,3417,"+",1.50014528750203,0.00417059020162981,"Distal Intergenic",6,50821785,50823865,2081,1,"7021","ENST00000489228.1",301067,"ENSG00000008196","TFAP2B","transcription factor AP-2 beta","sense"
"chr10",1080654,1080903,250,"+",1.29018466223725,0.00461777349959357,"Intron (ENST00000358220.5/22884, intron 5 of 13)",10,1074417,1160991,86575,1,"22884","ENST00000704674.1",6237,"ENSG00000047056","WDR37","WD repeat domain 37","sense"
"chr7",91510052,91512653,2602,"+",1.38379368560623,0.00463251523815519,"Intron (ENST00000418395.1/105375392, intron 3 of 5)",7,91496503,91515425,18923,1,"105375392","ENST00000840263.1",13549,"ENSG00000243144","LINC02932","long intergenic non-protein coding RNA 2932","sense"
"chr11",63124750,63125532,783,"+",1.49620840127296,0.00466889590066484,"Intron (ENST00000417740.5/283238, intron 2 of 9)",11,63079940,63144221,64282,2,"283238","ENST00000417740.5",18689,"ENSG00000197658","SLC22A24","solute carrier family 22 member 24","antisense"
"chr11",63252987,63254969,1983,"+",1.51859765286459,0.00508041311679297,"Distal Intergenic",11,63245979,63251266,5288,2,"105369334","ENST00000719075.1",-1721,NA,"LOC105369334","uncharacterized LOC105369334","antisense"
"chr4",105861460,105864209,2750,"+",1.31423288717782,0.00544522563938345,"Intron (ENST00000510876.1/57117, intron 1 of 3)",4,105835788,105840911,5124,2,"124900749","ENST00000783293.1",-20549,NA,"LOC124900749","uncharacterized LOC124900749","antisense"
"chr11",63088431,63093590,5160,"+",1.47641412733513,0.00544522563938345,"Intron (ENST00000417740.5/283238, intron 6 of 9)",11,63079940,63144221,64282,2,"283238","ENST00000417740.5",50631,"ENSG00000197658","SLC22A24","solute carrier family 22 member 24","antisense"
"chr2",184266077,184266338,262,"+",1.24899610992713,0.00626190747172106,"Intron (ENST00000671393.1/107985968, intron 2 of 5)",2,184204383,184226295,21913,1,"102724340","ENST00000802604.1",61694,NA,"LOC102724340","uncharacterized LOC102724340","sense"
"chr12",11315133,11320187,5055,"+",1.2768064381029,0.00626190747172106,"Distal Intergenic",12,11307077,11310436,3360,2,"5545","ENST00000279575.7",-4697,"ENSG00000230657","PRB4","proline rich protein BstNI subfamily 4","antisense"
"chr12",27786753,27787529,777,"+",1.23549535603406,0.00629294081492267,"Promoter",12,27787635,27791926,4292,1,"57542","ENST00000540301.1",-106,"ENSG00000087448","KLHL42","kelch like family member 42","sense"
"chr1",121575765,121579413,3649,"+",1.25716109323222,0.00629294081492267,"Intron (ENST00000791607.1/647121, intron 7 of 7)",1,121537804,121564908,27105,1,"647121","ENST00000791615.1",37961,"ENSG00000291141","EMBP1","embigin pseudogene 1","sense"
"chr12",11287729,11289548,1820,"+",1.22212696728463,0.00653337309830367,"Distal Intergenic",12,11265914,11269707,3794,2,"5544","ENST00000538488.3",-18022,"ENSG00000197870","PRB3","proline rich protein BstNI subfamily 3","antisense"
"chr2",76228629,76229757,1129,"+",1.32038293364382,0.00686376038994058,"Intron (ENST00000669228.1/ENST00000669228.1, intron 1 of 4)",2,76514657,76587697,73041,1,"105374814","ENST00000719311.1",-284900,NA,"LOC105374814","uncharacterized LOC105374814","sense"
"chr14",39595265,39597382,2118,"+",1.36327541504467,0.00686376038994058,"Intron (ENST00000652126.1/105370462, intron 2 of 7)",14,39636018,39722741,86724,1,"105370461","ENST00000835111.1",-38636,NA,"LOC105370461","uncharacterized LOC105370461","sense"
"chr1",119200828,119201774,947,"+",1.23056951633342,0.00706373929418035,"Intron (ENST00000667138.1/101929147, intron 3 of 3)",1,119146409,119160747,14339,1,"101929147","ENST00000445565.2",54419,"ENSG00000231365","WARS2-AS1","WARS2 antisense RNA 1","sense"
"chr9",78339487,78340586,1100,"+",1.24320303798356,0.00706373929418035,"Distal Intergenic",9,78358609,78423174,64566,1,"107987083","ENST00000832999.1",-18023,NA,"LOC107987083","uncharacterized LOC107987083","sense"
"chr2",68597255,68600925,3671,"+",1.28823787195279,0.00710521798816861,"Intron (ENST00000471727.3/200558, intron 9 of 10)",2,68586854,68655862,69009,1,"10887","ENST00000627740.1",10401,"ENSG00000169618","PROKR1","prokineticin receptor 1","sense"
"chr2",193632141,193634133,1993,"+",1.33605432543319,0.00710521798816861,"Distal Intergenic",2,193132530,193171187,38658,2,"107985969","ENST00000814203.1",-460954,NA,"LOC107985969","uncharacterized LOC107985969","antisense"
"chr1",119211625,119213251,1627,"+",1.21567983633802,0.007110312067986,"Intron (ENST00000667138.1/101929147, intron 3 of 3)",1,119146409,119160747,14339,1,"101929147","ENST00000445565.2",65216,"ENSG00000231365","WARS2-AS1","WARS2 antisense RNA 1","sense"
"chr18",1641210,1642191,982,"+",1.19623975417833,0.007110312067986,"Intron (ENST00000746526.1/ENST00000746526.1, intron 2 of 4)",18,1513898,1522252,8355,2,"105371960","ENST00000747084.1",-118958,"ENSG00000297316","LOC105371960","uncharacterized LOC105371960","antisense"
"chr3",163392731,163393054,324,"+",1.45464773611486,0.0071987851204026,"Intron (ENST00000817215.1/ENST00000817215.1, intron 2 of 2)",3,163199623,163361563,161941,2,"647107","ENST00000489012.5",-31168,"ENSG00000241369","LINC01192","long intergenic non-protein coding RNA 1192","antisense"
"chrX",75248035,75250558,2524,"+",1.24276591176719,0.0071987851204026,"Intron (ENST00000652605.1/139596, intron 4 of 13)",23,75274085,75297791,23707,1,"139596","ENST00000531704.5",-23527,"ENSG00000094841","UPRT","uracil phosphoribosyltransferase homolog","sense"
"chr2",175717495,175720017,2523,"+",1.26710271141031,0.00766033076969723,"Intron (ENST00000692740.2/124907909, intron 2 of 3)",2,175793935,175833749,39815,1,"124907909","ENST00000840657.1",-73918,NA,"LOC124907909","uncharacterized LOC124907909","sense"
"chr5",136677030,136677292,263,"+",1.22637883052628,0.00785732229111629,"Intron (ENST00000755223.1/105379191, intron 2 of 2)",5,136734830,136756158,21329,1,"105379191","ENST00000662288.1",-57538,"ENSG00000249803","CTB-1I21.1","uncharacterized CTB-1I21.1","sense"
"chr1",231944886,231946153,1268,"+",1.41382606706874,0.00789048731561592,"Exon (ENST00000456782.1/104472714, exon 4 of 4)",1,231925834,231945233,19400,1,"104472714","ENST00000456782.1",19052,"ENSG00000226758","DISC1-IT1","DISC1 intronic transcript 1","sense"
"chr3",34426538,34426734,197,"+",1.37624410002548,0.00820503932303412,"Intron (ENST00000660133.1/101928114, intron 4 of 4)",3,34409261,34497366,88106,1,"124909364","ENST00000721518.1",17277,NA,"LOC124909364","uncharacterized LOC124909364","sense"
"chr1",174612779,174613512,734,"+",1.30591468760629,0.00829964201060721,"Intron (ENST00000251507.8/9910, intron 13 of 20)",1,174637378,174705750,68373,1,"9910","ENST00000474375.6",-23866,"ENSG00000152061","RABGAP1L","RAB GTPase activating protein 1 like","sense"
"chr5",164452005,164452892,888,"+",1.19979434956001,0.00867193559344038,"Intron (ENST00000519329.3/105377703, intron 2 of 2)",5,164467290,164542107,74818,1,"102546299","ENST00000519327.5",-14398,"ENSG00000241956","LOC102546299","uncharacterized LOC102546299","sense"
"chr2",81617970,81619172,1203,"+",1.2217033696817,0.00891407094442561,"Distal Intergenic",2,81482239,81570583,88345,1,"102724542","ENST00000817547.1",135731,NA,"LOC102724542","uncharacterized LOC102724542","sense"
"chr18",12182687,12187553,4867,"+",1.31156215283663,0.00897541193193942,"Distal Intergenic",18,12197744,12212084,14341,1,"497259","ENST00000729123.1",-10191,NA,"C18orf61","uncharacterized LOC497259","sense"
"chr2",99233625,99234020,396,"+",1.26615196469117,0.00897541193193942,"Intron (ENST00000424491.5/51263, intron 11 of 13)",2,99242246,99254281,12036,2,"254773","ENST00000409238.5",20261,"ENSG00000185674","LYG2","lysozyme g2","antisense"
"chr5",56226096,56227291,1196,"+",1.40317494979953,0.00909281302132418,"Intron (ENST00000341048.9/79722, intron 2 of 11)",5,56099773,56232926,133154,2,"79722","ENST00000504958.6",5635,"ENSG00000164512","ANKRD55","ankyrin repeat domain 55","antisense"
"chrX",68593834,68595001,1168,"+",1.41326130662999,0.00913693084595835,"Distal Intergenic",23,68647666,68656551,8886,1,"9754","ENST00000488088.1",-52665,"ENSG00000130052","STARD8","StAR related lipid transfer domain containing 8","sense"
"chr12",39747033,39751815,4783,"+",1.20401588313131,0.00971976150898591,"Intron (ENST00000468200.2/283461, intron 14 of 18)",12,39819750,39819883,134,2,"124900327","ENST00000362701.1",68068,"ENSG00000199571","LOC124900327","small nucleolar RNA SNORA22","antisense"
"chr4",26698537,26699834,1298,"+",1.19779992557868,0.00971976150898591,"Intron (ENST00000502873.5/55296, intron 13 of 19)",4,26702309,26702388,80,1,"124900179","ENST00000364129.1",-2475,"ENSG00000200999","LOC124900179","small nucleolar RNA SNORD74","sense"
"chr5",120274179,120276223,2045,"+",1.1904782938209,0.00971976150898591,"Intron (ENST00000514240.1/ENST00000514240.1, intron 1 of 1)",5,120464300,120687314,223015,1,"51334","ENST00000407149.7",-188077,"ENSG00000184838","PRR16","proline rich 16","sense"
"chr3",130351565,130352229,665,"+",1.13000899970415,0.00992972142648031,"Intron (ENST00000312481.11/256076, intron 1 of 41)",3,130345672,130484846,139175,1,"256076","ENST00000373157.9",5893,"ENSG00000172752","COL6A5","collagen type VI alpha 5 chain","sense"
"chr8",127182799,127184190,1392,"+",1.19200089113296,0.0101512593576565,"Intron (ENST00000645463.1/105375751, intron 6 of 6)",8,127078895,127185243,106349,2,"103164619","ENST00000642100.1",1053,"ENSG00000254166","PCAT2","prostate cancer associated transcript 2","antisense"
"chr6",10734351,10734772,422,"+",1.26629335342102,0.0101512593576565,"Distal Intergenic",6,10724422,10728727,4306,1,"51522","ENST00000495549.1",9929,"ENSG00000111843","TMEM14C","transmembrane protein 14C","sense"
"chr6",85817207,85821881,4675,"+",1.25403163820622,0.0101512593576565,"Distal Intergenic",6,85923212,85998246,75035,1,"101928842","ENST00000755500.1",-101331,NA,"LOC101928842","uncharacterized LOC101928842","sense"
"chr5",56201763,56202136,374,"+",1.35309538468229,0.0101512593576565,"Intron (ENST00000743331.1/101928419, intron 1 of 1)",5,56099773,56232926,133154,2,"79722","ENST00000504958.6",30790,"ENSG00000164512","ANKRD55","ankyrin repeat domain 55","antisense"
"chr10",32705179,32709125,3947,"+",1.23836317596365,0.0102756352941937,"Intron (ENST00000639629.2/79741, intron 25 of 43)",10,32686019,32876445,190427,1,"79741","ENST00000375028.9",19160,"ENSG00000216937","CCDC7","coiled-coil domain containing 7","sense"
"chr12",127167939,127168136,198,"+",1.07390078035278,0.0103833596913197,"Intron (ENST00000755538.1/124903049, intron 1 of 3)",12,127149955,127161259,11305,2,"105370062","ENST00000671545.1",-6680,NA,"LOC105370062","uncharacterized LOC105370062","antisense"
"chr16",31310950,31312109,1160,"+",1.20298375834302,0.0106745973350569,"Intron (ENST00000648685.1/3684, intron 14 of 29)",16,31324678,31326968,2291,1,"3684","ENST00000561838.1",-12569,"ENSG00000169896","ITGAM","integrin subunit alpha M","sense"
"chr1",70363732,70363936,205,"+",1.10407732053245,0.0107031479688861,"Intron (ENST00000359875.11/11147, intron 1 of 2)",1,70359556,70360548,993,2,"102724548","ENST00000413943.2",-3184,"ENSG00000226088","LINC03102","long intergenic non-protein coding RNA 3102","antisense"
"chr18",37115710,37117460,1751,"+",1.25101353431522,0.0107570020187916,"Intron (ENST00000592611.5/57536, intron 6 of 10)",18,37067340,37084425,17086,1,"57536","ENST00000599493.1",48370,"ENSG00000150477","KIAA1328","KIAA1328","sense"
"chr5",177285389,177286104,716,"+",1.05953447405779,0.0110643611437195,"Intron (ENST00000508896.7/64324, intron 21 of 23)",5,177288526,177292127,3602,1,"64324","ENST00000513736.1",-2422,"ENSG00000165671","NSD1","nuclear receptor binding SET domain protein 1","sense"
"chr13",51709530,51710659,1130,"+",1.14197494865571,0.0112600756305871,"Intron (ENST00000298125.7/115825, intron 4 of 11)",13,51722253,51729098,6846,2,"124903177","ENST00000731838.1",18439,NA,"LOC124903177","uncharacterized LOC124903177","antisense"
"chr5",97361042,97361691,650,"+",1.19056027527468,0.0112600756305871,"Intron (ENST00000504578.2/101926893, intron 5 of 6)",5,97504589,97671633,167045,1,"102546227","ENST00000668863.2",-142898,"ENSG00000250331","LINC01340","long intergenic non-protein coding RNA 1340","sense"
"chr5",164510478,164510886,409,"+",1.11863346081959,0.0117949147290169,"Intron (ENST00000767693.1/105377703, intron 3 of 3)",5,164470285,164542979,72695,1,"102546299","ENST00000767698.1",40193,"ENSG00000241956","LOC102546299","uncharacterized LOC102546299","sense"
"chr11",74888346,74890887,2542,"+",1.2357648157655,0.0118352696546569,"Intron (ENST00000533875.1/ENST00000533875.1, intron 2 of 4)",11,74850870,74906352,55483,2,"143570","ENST00000529926.1",15465,"ENSG00000166435","XRRA1","X-ray radiation resistance associated 1","antisense"
"chr2",187131764,187132098,335,"+",1.20826425869333,0.0121508745181042,"Intron (ENST00000453517.5/105373786, intron 1 of 3)",2,187003275,187259337,256063,1,"105373786","ENST00000759352.1",128489,NA,"CALCRL-AS1","CALCRL and TFPI antisense RNA 1","sense"
"chr4",39135622,39136454,833,"+",1.01207054824016,0.0121508745181042,"Intron (ENST00000668468.2/105374418, intron 2 of 2)",4,39133913,39135608,1696,1,"51088","ENST00000507579.1",1709,"ENSG00000109790","KLHL5","kelch like family member 5","sense"
"chr5",97296087,97296377,291,"+",1.31922489570399,0.0121508745181042,"Intron (ENST00000504578.2/101926893, intron 5 of 6)",5,97160867,97183247,22381,2,"55781","ENST00000283109.8",-112840,"ENSG00000058729","RIOK2","RIO kinase 2","antisense"
"chr6",101062026,101069078,7053,"+",1.22574369295288,0.0121508745181042,"Intron (ENST00000683774.1/2898, intron 1 of 16)",6,100962701,101924973,962273,1,"2898","ENST00000683774.1",99325,"ENSG00000164418","GRIK2","glutamate ionotropic receptor kainate type subunit 2","sense"
"chr2",81558385,81559040,656,"+",1.23043874930411,0.0123677059518932,"Intron (ENST00000817545.1/102724542, intron 2 of 2)",2,81482239,81570583,88345,1,"102724542","ENST00000817547.1",76146,NA,"LOC102724542","uncharacterized LOC102724542","sense"
"chr8",67111305,67111597,293,"+",1.17529574998337,0.0125956894079371,"Intron (ENST00000676113.1/79848, intron 9 of 29)",8,67110651,67196258,85608,1,"79848","ENST00000677052.1",654,"ENSG00000104218","CSPP1","centrosome and spindle pole associated protein 1","sense"
"chr5",97445845,97446028,184,"+",1.12961713784681,0.0125956894079371,"Distal Intergenic",5,97504589,97671633,167045,1,"102546227","ENST00000668863.2",-58561,"ENSG00000250331","LINC01340","long intergenic non-protein coding RNA 1340","sense"
"chr10",32702108,32703749,1642,"+",1.13798629478551,0.0126907579570566,"Intron (ENST00000639629.2/79741, intron 25 of 43)",10,32686019,32876445,190427,1,"79741","ENST00000375028.9",16089,"ENSG00000216937","CCDC7","coiled-coil domain containing 7","sense"
"chr20",45377718,45377940,223,"+",1.18914551153411,0.0126907579570566,"Promoter",20,45372557,45378325,5769,2,"27296","ENST00000372726.5",385,"ENSG00000124251","TP53TG5","TP53 target 5","antisense"
"chr9",94506328,94506527,200,"+",1.34367068282003,0.0126907579570566,"Intron (ENST00000448030.1/ENST00000448030.1, intron 3 of 4)",9,94483609,94511590,27982,2,"107987100","ENST00000778323.1",5063,NA,"LOC107987100","uncharacterized LOC107987100","antisense"
"chr17",50428288,50428692,405,"+",1.10113688884838,0.0127986640541412,"Intron (ENST00000510410.5/80221, intron 1 of 13)",17,50426252,50474831,48580,1,"80221","ENST00000502667.5",2036,"ENSG00000167107","ACSF2","acyl-CoA synthetase family member 2","sense"
"chr1",121581665,121583794,2130,"+",1.17076639692944,0.0128420939342956,"Intron (ENST00000791607.1/647121, intron 7 of 7)",1,121537804,121564908,27105,1,"647121","ENST00000791615.1",43861,"ENSG00000291141","EMBP1","embigin pseudogene 1","sense"
"chr1",51555219,51555813,595,"+",1.07167041499786,0.0128420939342956,"Intron (ENST00000426017.2/105378720, intron 1 of 2)",1,51558746,51561626,2881,1,"105378720","ENST00000828311.1",-2933,"ENSG00000227070","EPS15-AS1","EPS15 antisense RNA 1","sense"
"chr3",58273450,58273699,250,"+",1.24566169078667,0.0128420939342956,"Intron (ENST00000295962.8/57406, intron 5 of 8)",3,58285197,58293658,8462,1,"57406","ENST00000470440.1",-11498,"ENSG00000163686","ABHD6","abhydrolase domain containing 6, acylglycerol lipase","sense"
"chrX",148138943,148139650,708,"+",1.10103123002682,0.0128420939342956,"Intron (ENST00000821191.1/ENST00000821191.1, intron 1 of 2)",23,148006816,148026665,19850,1,"158521","ENST00000489034.2",132127,"ENSG00000176988","FMR1NB","FMR1 neighbor","sense"
"chr1",205872714,205874815,2102,"+",1.19340119720485,0.0128420939342956,"Intron (ENST00000656763.1/284581, intron 1 of 2)",1,205882421,205896072,13652,1,"284581","ENST00000652821.1",-7606,NA,"PM20D1-AS1","PM20D1 antisense RNA 1","sense"
"chr1",201805657,201806230,574,"+",1.03397255112037,0.0128420939342956,"Intron (ENST00000685211.1/89796, intron 21 of 33)",1,201808611,201808702,92,1,"100302158","ENST00000408101.1",-2381,"ENSG00000221028","MIR1231","microRNA 1231","sense"
"chr6",120131167,120131501,335,"+",1.16364373032636,0.0128420939342956,"Intron (ENST00000834274.1/ENST00000834274.1, intron 2 of 4)",6,120015179,120015257,79,1,"100422951","ENST00000579460.1",115988,"ENSG00000265725","MIR3144","microRNA 3144","sense"
"chr1",93279407,93279927,521,"+",1.14748480715033,0.0128420939342956,"Intron (ENST00000413606.5/100131564, intron 6 of 6)",1,93254517,93264947,10431,1,"343099","ENST00000447456.1",24890,"ENSG00000122483","CCDC18","coiled-coil domain containing 18","sense"
"chr5",164490368,164491643,1276,"+",1.15439426460776,0.0128420939342956,"Intron (ENST00000767693.1/105377703, intron 3 of 3)",5,164470285,164542979,72695,1,"102546299","ENST00000767698.1",20083,"ENSG00000241956","LOC102546299","uncharacterized LOC102546299","sense"
"chr2",44590554,44591976,1423,"+",1.23191870527491,0.0128420939342956,"Intron (ENST00000378494.8/79823, intron 3 of 10)",2,44676594,44743657,67064,1,"79823","ENST00000477830.1",-84618,"ENSG00000143919","CAMKMT","calmodulin-lysine N-methyltransferase","sense"
"chr19",11908316,11909425,1110,"+",1.12996842410336,0.0131651212515653,"Intron (ENST00000340180.5/7620, intron 4 of 4)",19,11925068,11950773,25706,1,"90592","ENST00000622593.4",-15643,"ENSG00000196757","ZNF700","zinc finger protein 700","sense"
"chr6",72970595,72971814,1220,"+",1.13493508140057,0.0131661883079022,"Intron (ENST00000342056.6/56479, intron 1 of 14)",6,72967687,72967753,67,2,"100423005","ENST00000583613.1",-2842,"ENSG00000266180","MIR4282","microRNA 4282","antisense"
